code,generic_name,brand_synth,therapeutic_class,used_for,indication,form,strength,strength_unit,route,dose_amount,dose_unit,frequency,scheduled_times,directions,warnings,side_effects,contraindications,storage,prn,prn_reason,quantity,refills,ndc_synth,rx_otc
SYNTH-RX-0012,amlodipane,NorvaTEST,calcium channel blocker,blood pressure,Simulated hypertension / angina lab.,tablet,5,mg,PO,1,tablet,daily,08:00,Take 1 tablet by mouth daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0012-30,Rx
SYNTH-RX-0013,atorvastine,Lipitest,statin,cholesterol,Simulated hyperlipidemia.,tablet,20,mg,PO,1,tablet,QHS,20:00,Take 1 tablet by mouth at bedtime.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0013-30,Rx
SYNTH-RX-0014,omeprazone,PrilotesT,PPI,acid reflux,Simulated GERD / ulcer prophylaxis.,capsule,20,mg,PO,1,capsule,daily,08:00,Take 1 capsule by mouth 30 minutes before breakfast.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0014-30,Rx
SYNTH-RX-0015,polyethyline glycol-sim,MiraTEST,osmotic laxative,constipation,Simulated occasional constipation.,powder,17,g,PO,17,g,daily,08:00,Mix 17 g in 8 oz water; drink once daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,14,5,99999-0015-14,OTC-training
SYNTH-RX-0016,docusate-sim,Colace-TEST,stool softener,constipation,Simulated hard stools.,capsule,100,mg,PO,1,capsule,BID,"08:00,20:00",Take 1 capsule by mouth twice daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0016-60,OTC-training
SYNTH-RX-0017,gabapentol,Neurontest,neuropathic agent,nerve pain / adjunct seizure,Simulated neuropathic pain.,capsule,300,mg,PO,1,capsule,TID,"08:00,14:00,20:00",Take 1 capsule by mouth three times daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,90,5,99999-0017-90,Rx
SYNTH-RX-0018,baclofene,Lioresal-TEST,muscle relaxant,spasticity,Simulated spasticity in cerebral palsy training cases.,tablet,10,mg,PO,1,tablet,TID,"08:00,14:00,20:00",Take 1 tablet by mouth three times daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,90,5,99999-0018-90,Rx
SYNTH-RX-0019,tizanidine-sim,ZanaTEST,muscle relaxant,spasticity,Simulated muscle spasm.,tablet,2,mg,PO,1,tablet,TID,"08:00,14:00,20:00",Take 1 tablet by mouth three times daily.,Sedation training flag.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,90,5,99999-0019-90,Rx
SYNTH-RX-0020,albuterol-sim HFA,Ventest HFA,short-acting beta agonist,wheezing / rescue,Simulated bronchospasm.,inhaler,90,mcg,inhaled,2,puffs,PRN,,Inhale 2 puffs as needed for wheezing. Max 4 times / 24 h in training.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",True,wheezing / shortness of breath,1,2,99999-0020-01,Rx
SYNTH-RX-0021,cetirizine-sim,ZyrTEST,antihistamine,allergies,Simulated allergic rhinitis.,tablet,10,mg,PO,1,tablet,daily,20:00,Take 1 tablet by mouth at bedtime.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0021-30,OTC-training
SYNTH-RX-0022,loratadine-sim,Claritin-TEST,antihistamine,allergies,Simulated seasonal allergies.,tablet,10,mg,PO,1,tablet,daily,08:00,Take 1 tablet by mouth daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0022-30,OTC-training
SYNTH-RX-0023,cholecalciferol-sim,D3-TEST,vitamin,vitamin D,Simulated vitamin D insufficiency.,capsule,2000,IU,PO,1,capsule,daily,08:00,Take 1 capsule by mouth daily with food.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,90,5,99999-0023-90,OTC-training
SYNTH-RX-0024,multivitamin-sim,TheraTEST,vitamin,nutrition support,Simulated general supplementation.,tablet,1,tab,PO,1,tablet,daily,08:00,Take 1 tablet by mouth daily with breakfast.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0024-30,OTC-training
SYNTH-RX-0025,levothyrox-sim,Synthroid-TEST,thyroid hormone,thyroid,Simulated hypothyroidism.,tablet,50,mcg,PO,1,tablet,daily,06:30,"Take 1 tablet by mouth on empty stomach, 30 min before food.",Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0025-30,Rx
SYNTH-RX-0026,tamsulosin-sim,Flomax-TEST,alpha blocker,urinary flow,Simulated BPH.,capsule,0.4,mg,PO,1,capsule,daily,20:00,Take 1 capsule by mouth 30 minutes after the same meal daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0026-30,Rx
SYNTH-RX-0027,oxybutynin-sim,Ditropan-TEST,anticholinergic,bladder,Simulated overactive bladder.,tablet,5,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily.,Dry mouth / constipation training flag.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0027-60,Rx
SYNTH-RX-0028,melatonex,SleepTEST,sleep aid,sleep,Simulated insomnia / sleep-onset delay.,tablet,3,mg,PO,1,tablet,QHS,20:00,Take 1 tablet by mouth 30 minutes before bedtime.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",True,difficulty falling asleep,30,5,99999-0028-30,OTC-training
SYNTH-RX-0029,acetaminophim,Tylenol-TEST,analgesic / antipyretic,pain / fever,Simulated mild pain or fever.,tablet,500,mg,PO,1,tablet,PRN,,Take 1 tablet by mouth every 6 hours as needed. Max 3 g / 24 h in training.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",True,pain or fever ≥ 100.4 F,100,1,99999-0029-100,OTC-training
SYNTH-RX-0030,ibuprofene-sim,Advil-TEST,NSAID,pain / inflammation,Simulated musculoskeletal pain.,tablet,200,mg,PO,1,tablet,PRN,,Take 1 tablet by mouth every 6–8 hours as needed with food.,GI bleed training flag — hold if black stools.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",True,pain or swelling,50,5,99999-0030-50,OTC-training
SYNTH-RX-0031,hydroxyzine-sim,Vistaril-TEST,antihistamine,anxiety / itch,Simulated pruritus or situational anxiety.,capsule,25,mg,PO,1,capsule,PRN,,Take 1 capsule by mouth every 6 hours as needed.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",True,itching or agitation,30,5,99999-0031-30,Rx
SYNTH-RX-0032,clonidine-sim,Catapres-TEST,alpha agonist,blood pressure / ADHD training,Simulated hypertension or ADHD adjunct.,tablet,0.1,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily.,Do not stop abruptly in training.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0032-60,Rx
SYNTH-RX-0033,furosemix,Lasix-TEST,loop diuretic,fluid / edema,Simulated edema or CHF lab.,tablet,20,mg,PO,1,tablet,daily,08:00,Take 1 tablet by mouth in the morning.,Monitor simulated potassium.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0033-30,Rx
SYNTH-RX-0034,potassium chlorix,K-Dur-TEST,electrolyte,potassium replacement,Simulated hypokalemia prophylaxis with diuretic.,tablet,10,mEq,PO,1,tablet,daily,08:00,Take 1 tablet by mouth daily with food. Swallow whole.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0034-30,Rx
SYNTH-RX-0035,carbamazepim,Tegretol-TEST,anticonvulsant,seizure,Simulated focal seizures.,tablet,200,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily.,CBC training flag.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0035-60,Rx
SYNTH-RX-0036,topiramine,Topamax-TEST,anticonvulsant,seizure / migraine training,Simulated seizure or migraine prophylaxis.,tablet,25,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0036-60,Rx
SYNTH-RX-0037,poly-vit mineral-sim,Centrum-TEST,vitamin,nutrition,Simulated dietary gap.,tablet,1,tab,PO,1,tablet,daily,08:00,Take 1 tablet by mouth with breakfast.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0037-30,OTC-training
SYNTH-RX-0038,nystatin-sim susp,Mycostatin-TEST,antifungal,oral thrush,Simulated oropharyngeal candidiasis.,suspension,100000,units/mL,PO swish,5,mL,QID,"08:00,12:00,16:00,20:00","Swish 5 mL for 30 seconds and swallow, four times daily.",Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,1,99999-0038-60,Rx
SYNTH-RX-0039,hydrocortisone-sim 1%,Cortaid-TEST,topical corticosteroid,skin inflammation,Simulated dermatitis.,cream,1,%,topical,thin film,application,BID,"08:00,20:00",Apply a thin film to affected area twice daily.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,1,2,99999-0039-15,OTC-training
SYNTH-RX-0040,polyethylene glycol-sim plus electrolytes,GoLYTELY-TEST,bowel prep,bowel cleanout (training),Simulated bowel prep — not a standing home med.,solution,240,mL,PO,240,mL,PRN,,"Drink 240 mL every 10 minutes until gone, per training protocol.",Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",True,ordered bowel prep only,4,0,99999-0040-04,Rx
